Var1,Freq,Coder
Albania,102,pointsfrom
Armenia,102,pointsfrom
Australia,100,pointsfrom
Austria,101,pointsfrom
Azerbaijan,101,pointsfrom
Belarus,103,pointsfrom
Belgium,102,pointsfrom
Bosnia & Herzegovina,26,pointsfrom
Bulgaria,75,pointsfrom
Croatia,102,pointsfrom
Cyprus,100,pointsfrom
Czech Republic,101,pointsfrom
Denmark,101,pointsfrom
Estonia,102,pointsfrom
F.Y.R. Macedonia,78,pointsfrom
Finland,103,pointsfrom
France,100,pointsfrom
Georgia,103,pointsfrom
Germany,100,pointsfrom
Greece,102,pointsfrom
Hungary,101,pointsfrom
Iceland,103,pointsfrom
Ireland,103,pointsfrom
Israel,100,pointsfrom
Italy,100,pointsfrom
Latvia,103,pointsfrom
Lithuania,102,pointsfrom
Malta,102,pointsfrom
Moldova,102,pointsfrom
Montenegro,104,pointsfrom
North Macedonia,25,pointsfrom
Norway,101,pointsfrom
Poland,102,pointsfrom
Portugal,76,pointsfrom
Romania,77,pointsfrom
Russia,76,pointsfrom
San Marino,103,pointsfrom
Serbia,101,pointsfrom
Slovenia,102,pointsfrom
Spain,100,pointsfrom
Sweden,100,pointsfrom
Switzerland,103,pointsfrom
The Netherlands,101,pointsfrom
Ukraine,75,pointsfrom
United Kingdom,100,pointsfrom
Albania,82,pointsto
Armenia,82,pointsto
Australia,164,pointsto
Austria,124,pointsto
Azerbaijan,122,pointsto
Belarus,81,pointsto
Belgium,82,pointsto
Bulgaria,124,pointsto
Croatia,82,pointsto
Cyprus,164,pointsto
Czech Republic,123,pointsto
Denmark,123,pointsto
Estonia,82,pointsto
Finland,42,pointsto
France,164,pointsto
Georgia,41,pointsto
Germany,164,pointsto
Greece,81,pointsto
Hungary,124,pointsto
Iceland,40,pointsto
Ireland,42,pointsto
Israel,164,pointsto
Italy,164,pointsto
Latvia,41,pointsto
Lithuania,83,pointsto
Malta,81,pointsto
Moldova,83,pointsto
North Macedonia,40,pointsto
Norway,123,pointsto
Poland,82,pointsto
Portugal,83,pointsto
Romania,41,pointsto
Russia,82,pointsto
San Marino,40,pointsto
Serbia,123,pointsto
Slovenia,82,pointsto
Spain,164,pointsto
Sweden,164,pointsto
Switzerland,40,pointsto
The Netherlands,165,pointsto
Ukraine,124,pointsto
United Kingdom,164,pointsto
